Job_ID,keywords
3382036459,Tableau
3382036459,pandas
3451404207,Python
3451404207,MySQL
3451404207,SQL Server
3451404207,Transformers
3451404207,Tensorflow
3451404207,PyTorch
3451404207,spaCy
3451404207,Tableau
3440360221,access
3415231329,Python
3231360946,Python
3231360946,git
3231360946,Github
3231360946,Pandas
3231360946,Numpy
3447430504,R
3447430504,Python
3447430504,Tableau
3447430504,Looker
3444249928,Python
3444249928,R
3444249928,AWS
3444249928,Snowflake
3444249928,Tableau
3444249928,Power BI
3444249928,ETL
3415227852,Python
3415229558,Python
3433829055,R
3433829055,Tableau
3415226907,Python
3415226907,Microsoft Azure
3415226907,Amazon Web Services
3415226907,Numpy
3415226907,Scikit learn
3415226907,Plotly
3415226907,TensorFLow
3415226907,Tableau
3415208822,Python
3415208822,R
3415208822,CouchBase
3415208822,HBase
3415208822,Cassandra
3415208822,MongoDB
3415208822,SAS
3415208822,Tableau
3415208822,QlikView
3443387859,Oracle
3358735105,Python
3358735105,R
3358735105,ETL
3358735105,Power BI
3358735105,Tableau
3400516210,Python
3400516210,R
3400516210,Tableau
3447510067,Access
3447510067,ETL
3447510067,SAS
3422173455,Python
3422173455,R
3422173455,MySQL
3422173455,Tableau
3422173455,Looker
3422196366,Python
3422196366,Snowflake
3424192238,R
3424192238,Python
3424192238,AWS
3424192238,Tableau
3422146947,R
3422146947,Python
3422146947,Julia
3422146947,SQL Server
3422146947,access
3422146947,NumPy
3422146947,pandas
3422160466,power BI
3419045426,SQL Server
3419045426,Power BI
3420727297,AWS
3420727297,Redshift
3420727297,MySQL
3420727297,Access
3420727297,ETL
3420727297,Tableau
3451240040,Python
3451240040,R
3450136985,Python
3450136985,AWS
3450136985,Tableau
3449671519,Python
3449671519,Power BI
3447053072,microsoft teams
3447053072,ETL
3424999032,Tableau
3425005634,Python
3425005634,R
3425005634,Power BI
3425005634,Tableau
3425005634,SAS
3426387580,Python
3426387580,access
3426387580,Tableau
3447023067,Oracle
3424516406,JavaScript
3424516406,Python
3424516406,R
3424516406,ETL
3424516406,Tableau
3424516406,SAS
3424516406,Power BI
3426341165,R
3426341165,SQL Server
3426341165,Shiny
3426580082,Snowflake
3426580082,Tableau
3424959011,Tableau
3427076492,Python
3427076492,Looker
3427076492,Power BI
3421285906,Python
3421285906,R
3421285906,Tableau
3447837177,access
3447837177,GitHub
3450184937,R
3447074942,python
3447074942,Power BI
3447506886,Oracle
3447506886,ETL
3447506886,Looker
3437802482,Oracle
3437802482,Tableau
3424408292,R
3424408292,Python
3424408292,Microsoft Azure
3424408292,Power BI
3424408292,DataBricks
3447015864,Python
